County,Metropolitan,Town
AleutiansEastBorough,1,1
AleutiansWestCensusArea,1,1
AnchorageMunicipality,1,1
BethelCensusArea,1,1
BristolBayBorough,1,1
DenaliBorough,1,1
DillinghamCensusArea,1,1
FairbanksNorthStarBorough,1,1
HainesBorough,1,1
HoonahAngoonCensusArea,1,1
JuneauCityandBorough,1,1
KenaiPeninsulaBorough,1,1
KetchikanGatewayBorough,1,1
KodiakIslandBorough,1,1
LakeandPeninsulaBorough,1,1
MatanuskaSusitnaBorough,1,1
NomeCensusArea,1,1
NorthSlopeBorough,1,1
NorthwestArcticBorough,1,1
PetersburgCensusArea,1,1
PrinceofWalesHyderCensusArea,1,1
SitkaCityandBorough,1,1
SkagwayMunicipality,1,1
SoutheastFairbanksCensusArea,1,1
ValdezCordovaCensusArea,1,1
WadeHamptonCensusArea,1,1
WrangellCityandBorough,1,1
YakutatCityandBorough,1,1
YukonKoyukukCensusArea,1,1
