County,Region,Msa
BernalilloCounty,,Albuquerque
CatronCounty,,NA
ChavesCounty,,NA
CibolaCounty,,NA
ColfaxCounty,,NA
CurryCounty,,NA
DeBacaCounty,,NA
DoaAnaCounty,,ElPaso
EddyCounty,,NA
GrantCounty,,NA
GuadalupeCounty,,NA
HardingCounty,,NA
HidalgoCounty,,NA
LeaCounty,,NA
LincolnCounty,,NA
LosAlamosCounty,,NA
LunaCounty,,NA
McKinleyCounty,,NA
MoraCounty,,NA
OteroCounty,,NA
QuayCounty,,NA
RioArribaCounty,,NA
RooseveltCounty,,NA
SandovalCounty,,Albuquerque
SanJuanCounty,,Farmington
SanMiguelCounty,,NA
SantaFeCounty,,SantaFe
SierraCounty,,NA
SocorroCounty,,NA
TaosCounty,,NA
TorranceCounty,,NA
UnionCounty,,NA
ValenciaCounty,,LosLunas
