County,Metropolitan,Town,Rural
AdamsCounty,0,0,0
AlamosaCounty,0,0,0
ArapahoeCounty,0,0,0
ArchuletaCounty,0,0,0
BacaCounty,0,0,0
BentCounty,0,0,0
BoulderCounty,0,0,0
BroomfieldCounty,0,0,0
ChaffeeCounty,0,0,0
CheyenneCounty,0,0,0
ClearCreekCounty,0,0,0
ConejosCounty,0,0,0
CostillaCounty,0,0,0
CrowleyCounty,0,0,0
CusterCounty,0,0,0
DeltaCounty,0,0,0
DenverCounty,0,0,0
DoloresCounty,0,0,0
DouglasCounty,0,0,0
EagleCounty,0,0,0
ElPasoCounty,0,0,0
ElbertCounty,0,0,0
FremontCounty,0,0,0
GarfieldCounty,0,0,0
GilpinCounty,0,0,0
GrandCounty,0,0,0
GunnisonCounty,0,0,0
HinsdaleCounty,0,0,0
HuerfanoCounty,0,0,0
JacksonCounty,0,0,0
JeffersonCounty,0,0,0
KiowaCounty,0,0,0
KitCarsonCounty,0,0,0
LaPlataCounty,0,0,0
LakeCounty,0,0,0
LarimerCounty,0,0,0
LasAnimasCounty,0,0,0
LincolnCounty,0,0,0
LoganCounty,0,0,0
MesaCounty,0,0,0
MineralCounty,0,0,0
MoffatCounty,0,0,0
MontezumaCounty,0,0,0
MontroseCounty,0,0,0
MorganCounty,0,0,0
OteroCounty,0,0,0
OurayCounty,0,0,0
ParkCounty,0,0,0
PhillipsCounty,0,0,0
PitkinCounty,0,0,0
ProwersCounty,0,0,0
PuebloCounty,0,0,0
RioBlancoCounty,0,0,0
RioGrandeCounty,0,0,0
RouttCounty,0,0,0
SaguacheCounty,0,0,0
SanJuanCounty,0,0,0
SanMiguelCounty,0,0,0
SedgwickCounty,0,0,0
SummitCounty,0,0,0
TellerCounty,0,0,0
WashingtonCounty,0,0,0
WeldCounty,0,0,0
YumaCounty,0,0,0
