County,Metropolitan,Town,Rural
AccomackCounty,0,0,0
AlbemarleCounty,0,0,0
Alexandriacity,0,0,0
AlleghanyCounty,0,0,0
AmeliaCounty,0,0,0
AmherstCounty,0,0,0
AppomattoxCounty,0,0,0
ArlingtonCounty,0,0,0
AugustaCounty,0,0,0
BathCounty,0,0,0
BedfordCounty,0,0,0
Bedfordcity,0,0,0
BlandCounty,0,0,0
BotetourtCounty,0,0,0
Bristolcity,0,0,0
BrunswickCounty,0,0,0
BuchananCounty,0,0,0
BuckinghamCounty,0,0,0
BuenaVistacity,0,0,0
CampbellCounty,0,0,0
CarolineCounty,0,0,0
CarrollCounty,0,0,0
CharlesCityCounty,0,0,0
CharlotteCounty,0,0,0
Charlottesvillecity,0,0,0
Chesapeakecity,0,0,0
ChesterfieldCounty,0,0,0
ClarkeCounty,0,0,0
ColonialHeightscity,0,0,0
Covingtoncity,0,0,0
CraigCounty,0,0,0
CulpeperCounty,0,0,0
CumberlandCounty,0,0,0
Danvillecity,0,0,0
DickensonCounty,0,0,0
DinwiddieCounty,0,0,0
Emporiacity,0,0,0
EssexCounty,0,0,0
FairfaxCounty,0,0,0
Fairfaxcity,0,0,0
FallsChurchcity,0,0,0
FauquierCounty,0,0,0
FloydCounty,0,0,0
FluvannaCounty,0,0,0
FranklinCounty,0,0,0
Franklincity,0,0,0
FrederickCounty,0,0,0
Fredericksburgcity,0,0,0
Galaxcity,0,0,0
GilesCounty,0,0,0
GloucesterCounty,0,0,0
GoochlandCounty,0,0,0
GraysonCounty,0,0,0
GreeneCounty,0,0,0
GreensvilleCounty,0,0,0
HalifaxCounty,0,0,0
Hamptoncity,0,0,0
HanoverCounty,0,0,0
Harrisonburgcity,0,0,0
HenricoCounty,0,0,0
HenryCounty,0,0,0
HighlandCounty,0,0,0
Hopewellcity,0,0,0
IsleofWightCounty,0,0,0
JamesCityCounty,0,0,0
KingGeorgeCounty,0,0,0
KingWilliamCounty,0,0,0
KingandQueenCounty,0,0,0
LancasterCounty,0,0,0
LeeCounty,0,0,0
Lexingtoncity,0,0,0
LoudounCounty,0,0,0
LouisaCounty,0,0,0
LunenburgCounty,0,0,0
Lynchburgcity,0,0,0
MadisonCounty,0,0,0
ManassasParkcity,0,0,0
Manassascity,0,0,0
Martinsvillecity,0,0,0
MathewsCounty,0,0,0
MecklenburgCounty,0,0,0
MiddlesexCounty,0,0,0
MontgomeryCounty,0,0,0
NelsonCounty,0,0,0
NewKentCounty,0,0,0
NewportNewscity,0,0,0
Norfolkcity,0,0,0
NorthamptonCounty,0,0,0
NorthumberlandCounty,0,0,0
Nortoncity,0,0,0
NottowayCounty,0,0,0
OrangeCounty,0,0,0
PageCounty,0,0,0
PatrickCounty,0,0,0
Petersburgcity,0,0,0
PittsylvaniaCounty,0,0,0
Poquosoncity,0,0,0
Portsmouthcity,0,0,0
PowhatanCounty,0,0,0
PrinceEdwardCounty,0,0,0
PrinceGeorgeCounty,0,0,0
PrinceWilliamCounty,0,0,0
PulaskiCounty,0,0,0
Radfordcity,0,0,0
RappahannockCounty,0,0,0
RichmondCounty,0,0,0
Richmondcity,0,0,0
RoanokeCounty,0,0,0
Roanokecity,0,0,0
RockbridgeCounty,0,0,0
RockinghamCounty,0,0,0
RussellCounty,0,0,0
Salemcity,0,0,0
ScottCounty,0,0,0
ShenandoahCounty,0,0,0
SmythCounty,0,0,0
SouthamptonCounty,0,0,0
SpotsylvaniaCounty,0,0,0
StaffordCounty,0,0,0
Stauntoncity,0,0,0
Suffolkcity,0,0,0
SurryCounty,0,0,0
SussexCounty,0,0,0
TazewellCounty,0,0,0
VirginiaBeachcity,0,0,0
WarrenCounty,0,0,0
WashingtonCounty,0,0,0
Waynesborocity,0,0,0
WestmorelandCounty,0,0,0
Williamsburgcity,0,0,0
Winchestercity,0,0,0
WiseCounty,0,0,0
WytheCounty,0,0,0
YorkCounty,0,0,0
