Year,MedTruckPropHev,MedTruckHevMpg,HvyTruckPropHev,HvyTruckHevMpg
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,0,0,0,0
2002,0,0,0,0
2003,0,0,0,0
2004,0,0,0,0
2005,0,0,0,0
2006,0,0,0,0
2007,0.0001,0.25,0,0
2008,0.0003,0.2535,0,0
2009,0.0008,0.257,0,0
2010,0.0015,0.2605,0,0
2011,0.0022,0.264,0,0
2012,0.0029,0.2675,0,0
2013,0.0050,0.271,0,0
2014,0.0070,0.2745,0,0
2015,0.0089,0.278,0,0
2016,0.0125,0.2815,0.001,0.04
2017,0.0138,0.285,0.001,0.04175
2018,0.0150,0.2885,0.0012,0.0435
2019,0.0162,0.292,0.0014,0.04525
2020,0.0172,0.2955,0.0016,0.047
2021,0.0182,0.299,0.0018,0.04875
2022,0.0192,0.3025,0.002,0.0505
2023,0.0200,0.306,0.0022,0.05225
2024,0.0208,0.3095,0.0024,0.054
2025,0.0215,0.313,0.0026,0.05575
2026,0.0222,0.3165,0.0028,0.0575
2027,0.0229,0.32,0.003,0.05925
2028,0.0236,0.3235,0.0032,0.061
2029,0.0242,0.327,0.0034,0.06275
2030,0.0249,0.3305,0.0036,0.0645
2031,0.0255,0.334,0.0038,0.06625
2032,0.0261,0.3375,0.004,0.068
2033,0.0267,0.341,0.0042,0.06975
2034,0.0274,0.3445,0.0044,0.0715
2035,0.0280,0.348,0.0046,0.07325
2036,0.0286,0.3515,0.0048,0.075
2037,0.0292,0.355,0.005,0.07675
2038,0.0297,0.3585,0.0052,0.0785
2039,0.0303,0.362,0.0054,0.08025
2040,0.0309,0.3655,0.0056,0.082
2041,0.0351,0.369,0.0058,0.08375
2042,0.0361,0.3725,0.006,0.0855
2043,0.0371,0.376,0.0062,0.08725
2044,0.0380,0.3795,0.0064,0.089
2045,0.0390,0.383,0.0066,0.09075
2046,0.0400,0.3865,0.0068,0.0925
2047,0.0410,0.39,0.007,0.09425
2048,0.0420,0.3935,0.0072,0.096
2049,0.0430,0.397,0.0074,0.09775
2050,0.0440,0.4005,0.0076,0.0995
