Year,AutoPhevRange,AutoPropPhev,AutoMpkwh,AutoMpg,LtTruckPhevRange,LtTruckPropPhev,LtTruckMpkwh,LtTruckMpg
1975,0,0,3,0,0,0,2,0
1976,0,0,3,0,0,0,2,0
1977,0,0,3,0,0,0,2,0
1978,0,0,3,0,0,0,2,0
1979,0,0,3,0,0,0,2,0
1980,0,0,3,0,0,0,2,0
1981,0,0,3,0,0,0,2,0
1982,0,0,3,0,0,0,2,0
1983,0,0,3,0,0,0,2,0
1984,0,0,3,0,0,0,2,0
1985,0,0,3,0,0,0,2,0
1986,0,0,3,0,0,0,2,0
1987,0,0,3,0,0,0,2,0
1988,0,0,3,0,0,0,2,0
1989,0,0,3,0,0,0,2,0
1990,0,0,3,0,0,0,2,0
1991,0,0,3,0,0,0,2,0
1992,0,0,3,0,0,0,2,0
1993,0,0,3,0,0,0,2,0
1994,0,0,3,0,0,0,2,0
1995,0,0,3,0,0,0,2,0
1996,0,0,3,0,0,0,2,0
1997,0,0,3,0,0,0,2,0
1998,0,0,3,0,0,0,2,0
1999,0,0,3,0,0,0,2,0
2000,0,0,3,32,0,0,2,0
2001,0,0,3,32,0,0,2,0
2002,0,0,3,32,0,0,2,0
2003,0,0,3,32,0,0,2,0
2004,0,0,3,32,0,0,2,0
2005,0,0,3,35.2,0,0,2,0
2006,0,0,3,35.2,0,0,2,0
2007,0,0,3,35.2,0,0,2,0
2008,0,0,3,35.2,0,0,2,0
2009,0,0,3,35.2,0,0,2,0
2010,25,0,3.5,36.8,25,0,2,27.6
2011,25,0.003,3.525,40.6,25,0,2.025,30.4
2012,25,0.017,3.55,40.7,25,0,2.05,30.5
2013,25,0.017,3.575,40.7,25,0,2.075,30.5
2014,25,0.017,3.6,41,25,0,2.1,30.7
2015,25,0.017,3.625,41.2,25,0,2.125,30.9
2016,25,0.017,3.65,41.3,25,0.01,2.15,31
2017,25,0.017,3.675,43.4,25,0.01,2.175,32.5
2018,25,0.017,3.7,44.3,25,0.01,2.2,33.2
2019,25,0.017,3.725,45.3,25,0.01,2.225,34
2020,25,0.017,3.75,47.8,25,0.01,2.25,35.8
2021,30,0.017,3.775,49.4,30,0.02,2.275,37.1
2022,30,0.017,3.8,51.6,30,0.02,2.3,38.7
2023,30,0.017,3.825,53.6,30,0.01,2.325,40.2
2024,30,0.017,3.85,54.7,30,0.01,2.35,41
2025,30,0.017,3.875,56.9,30,0.01,2.375,42.7
2026,30,0.017,3.9,56.9,30,0.01,2.4,42.7
2027,30,0.017,3.925,56.9,30,0.02,2.425,42.7
2028,30,0.017,3.95,56.9,30,0.02,2.45,42.7
2029,30,0.017,3.975,56.9,30,0.02,2.475,42.7
2030,30,0.017,4,56.9,30,0.02,2.5,42.6
2031,35,0.017,4.025,56.8,35,0.02,2.525,42.6
2032,35,0.017,4.05,56.8,35,0.02,2.55,42.6
2033,35,0.017,4.075,56.8,35,0.02,2.575,42.6
2034,35,0.017,4.1,56.8,35,0.02,2.6,42.6
2035,35,0.017,4.125,56.8,35,0.02,2.625,42.6
2036,35,0.017,4.15,56.7,35,0.02,2.65,42.6
2037,35,0.017,4.175,56.7,35,0.02,2.675,42.5
2038,35,0.017,4.2,56.7,35,0.02,2.7,42.5
2039,35,0.017,4.225,56.7,35,0.03,2.725,42.5
2040,35,0.017,4.25,56.7,35,0.03,2.75,42.5
2041,40,0.017,4.275,56.7,40,0.03,2.775,42.5
2042,40,0.017,4.3,56.7,40,0.03,2.8,42.5
2043,40,0.017,4.325,56.7,40,0.03,2.825,42.5
2044,40,0.017,4.35,56.7,40,0.03,2.85,42.5
2045,40,0.017,4.375,56.7,40,0.03,2.875,42.5
2046,40,0.017,4.4,56.7,40,0.03,2.9,42.5
2047,40,0.017,4.425,56.7,40,0.04,2.925,42.5
2048,40,0.017,4.45,56.7,40,0.04,2.95,42.5
2049,40,0.017,4.475,56.7,40,0.04,2.975,42.5
2050,40,0.017,4.5,56.7,40,0.04,3,42.5
