County,Region,Msa
KaneCounty,,NA
MillardCounty,,NA
MorganCounty,,NA
PiuteCounty,,NA
RichCounty,,NA
SaltLakeCounty,,SaltLakeCityWestValleyCity
SanJuanCounty,,NA
SanpeteCounty,,NA
SevierCounty,,NA
SummitCounty,,NA
TooeleCounty,,NA
UintahCounty,,NA
UtahCounty,,SaltLakeCityWestValleyCity
WasatchCounty,,NA
WashingtonCounty,,StGeorge
WayneCounty,,NA
WeberCounty,,SaltLakeCityWestValleyCity
BeaverCounty,,NA
BoxElderCounty,,SaltLakeCityWestValleyCity
CacheCounty,,Logan
CarbonCounty,,NA
DaggettCounty,,NA
DavisCounty,,SaltLakeCityWestValleyCity
DuchesneCounty,,NA
EmeryCounty,,NA
GarfieldCounty,,NA
GrandCounty,,NA
IronCounty,,NA
JuabCounty,,NA
