County,Region,Msa
StLouisCounty,,Duluth
ScottCounty,,MinneapolisStPaul
SherburneCounty,,MinneapolisStPaul
SibleyCounty,,NA
StearnsCounty,,MinneapolisStPaul
SteeleCounty,,NA
StevensCounty,,NA
SwiftCounty,,NA
ToddCounty,,NA
TraverseCounty,,NA
WabashaCounty,,NA
WadenaCounty,,NA
WasecaCounty,,NA
WashingtonCounty,,MinneapolisStPaul
WatonwanCounty,,NA
WilkinCounty,,NA
WinonaCounty,,NA
WrightCounty,,MinneapolisStPaul
YellowMedicineCounty,,NA
AitkinCounty,,NA
AnokaCounty,,MinneapolisStPaul
BeckerCounty,,NA
BeltramiCounty,,NA
BentonCounty,,MinneapolisStPaul
BigStoneCounty,,NA
BlueEarthCounty,,NA
BrownCounty,,NA
CarltonCounty,,NA
CarverCounty,,MinneapolisStPaul
CassCounty,,NA
ChippewaCounty,,NA
ChisagoCounty,,NA
ClayCounty,,Fargo
ClearwaterCounty,,NA
CookCounty,,NA
CottonwoodCounty,,NA
CrowWingCounty,,NA
DakotaCounty,,MinneapolisStPaul
DodgeCounty,,NA
DouglasCounty,,NA
FaribaultCounty,,NA
FillmoreCounty,,NA
FreebornCounty,,NA
GoodhueCounty,,NA
GrantCounty,,NA
HennepinCounty,,MinneapolisStPaul
HoustonCounty,,LaCrosse
HubbardCounty,,NA
IsantiCounty,,NA
ItascaCounty,,NA
JacksonCounty,,NA
KanabecCounty,,NA
KandiyohiCounty,,NA
KittsonCounty,,NA
KoochichingCounty,,NA
LacquiParleCounty,,NA
LakeCounty,,NA
LakeoftheWoodsCounty,,NA
LeSueurCounty,,NA
LincolnCounty,,NA
LyonCounty,,NA
McLeodCounty,,NA
MahnomenCounty,,NA
MarshallCounty,,NA
MartinCounty,,NA
MeekerCounty,,NA
MilleLacsCounty,,NA
MorrisonCounty,,NA
MowerCounty,,NA
MurrayCounty,,NA
NicolletCounty,,NA
NoblesCounty,,NA
NormanCounty,,NA
OlmstedCounty,,Rochester
OtterTailCounty,,NA
PenningtonCounty,,NA
PineCounty,,NA
PipestoneCounty,,NA
PolkCounty,,GrandForks
PopeCounty,,NA
RamseyCounty,,MinneapolisStPaul
RedLakeCounty,,NA
RedwoodCounty,,NA
RenvilleCounty,,NA
RiceCounty,,NA
RockCounty,,NA
RoseauCounty,,NA
