County,Region,Msa
AdamsCounty,,NA
AntelopeCounty,,NA
ArthurCounty,,NA
BannerCounty,,NA
BlaineCounty,,NA
BooneCounty,,NA
BoxButteCounty,,NA
BoydCounty,,NA
BrownCounty,,NA
BuffaloCounty,,NA
BurtCounty,,NA
ButlerCounty,,NA
CassCounty,,Omaha
CedarCounty,,NA
ChaseCounty,,NA
CherryCounty,,NA
CheyenneCounty,,NA
ClayCounty,,NA
ColfaxCounty,,NA
CumingCounty,,NA
CusterCounty,,NA
DakotaCounty,,SiouxCity
DawesCounty,,NA
DawsonCounty,,NA
DeuelCounty,,NA
DixonCounty,,NA
DodgeCounty,,NA
DouglasCounty,,Omaha
DundyCounty,,NA
FillmoreCounty,,NA
FranklinCounty,,NA
FrontierCounty,,NA
FurnasCounty,,NA
GageCounty,,NA
GardenCounty,,NA
GarfieldCounty,,NA
GosperCounty,,NA
GrantCounty,,NA
GreeleyCounty,,NA
HallCounty,,NA
HamiltonCounty,,NA
HarlanCounty,,NA
HayesCounty,,NA
HitchcockCounty,,NA
HoltCounty,,NA
HookerCounty,,NA
HowardCounty,,NA
JeffersonCounty,,NA
JohnsonCounty,,NA
KearneyCounty,,NA
KeithCounty,,NA
KeyaPahaCounty,,NA
KimballCounty,,NA
KnoxCounty,,NA
LancasterCounty,,Lincoln
LincolnCounty,,NA
LoganCounty,,NA
LoupCounty,,NA
McPhersonCounty,,NA
MadisonCounty,,NA
MerrickCounty,,NA
MorrillCounty,,NA
NanceCounty,,NA
NemahaCounty,,NA
NuckollsCounty,,NA
OtoeCounty,,NA
PawneeCounty,,NA
PerkinsCounty,,NA
PhelpsCounty,,NA
PierceCounty,,NA
PlatteCounty,,NA
PolkCounty,,NA
RedWillowCounty,,NA
RichardsonCounty,,NA
RockCounty,,NA
SalineCounty,,NA
SarpyCounty,,Omaha
SaundersCounty,,NA
ScottsBluffCounty,,NA
SewardCounty,,NA
SheridanCounty,,NA
ShermanCounty,,NA
SiouxCounty,,NA
StantonCounty,,NA
ThayerCounty,,NA
ThomasCounty,,NA
ThurstonCounty,,NA
ValleyCounty,,NA
WashingtonCounty,,NA
WayneCounty,,NA
WebsterCounty,,NA
WheelerCounty,,NA
YorkCounty,,NA
