County,Metropolitan,Town,Rural
AlamedaCounty,0,0,0
AlpineCounty,0,0,0
AmadorCounty,0,0,0
ButteCounty,0,0,0
CalaverasCounty,0,0,0
ColusaCounty,0,0,0
ContraCostaCounty,0,0,0
DelNorteCounty,0,0,0
ElDoradoCounty,0,0,0
FresnoCounty,0,0,0
GlennCounty,0,0,0
HumboldtCounty,0,0,0
ImperialCounty,0,0,0
InyoCounty,0,0,0
KernCounty,0,0,0
KingsCounty,0,0,0
LakeCounty,0,0,0
LassenCounty,0,0,0
LosAngelesCounty,0,0,0
MaderaCounty,0,0,0
MarinCounty,0,0,0
MariposaCounty,0,0,0
MendocinoCounty,0,0,0
MercedCounty,0,0,0
ModocCounty,0,0,0
MonoCounty,0,0,0
MontereyCounty,0,0,0
NapaCounty,0,0,0
NevadaCounty,0,0,0
OrangeCounty,0,0,0
PlacerCounty,0,0,0
PlumasCounty,0,0,0
RiversideCounty,0,0,0
SacramentoCounty,0,0,0
SanBenitoCounty,0,0,0
SanBernardinoCounty,0,0,0
SanDiegoCounty,0,0,0
SanFranciscoCounty,0,0,0
SanJoaquinCounty,0,0,0
SanLuisObispoCounty,0,0,0
SanMateoCounty,0,0,0
SantaBarbaraCounty,0,0,0
SantaClaraCounty,0,0,0
SantaCruzCounty,0,0,0
ShastaCounty,0,0,0
SierraCounty,0,0,0
SiskiyouCounty,0,0,0
SolanoCounty,0,0,0
SonomaCounty,0,0,0
StanislausCounty,0,0,0
SutterCounty,0,0,0
TehamaCounty,0,0,0
TrinityCounty,0,0,0
TulareCounty,0,0,0
TuolumneCounty,0,0,0
VenturaCounty,0,0,0
YoloCounty,0,0,0
YubaCounty,0,0,0
