County,Region,Msa
StClairCounty,,NA
SteGenevieveCounty,,NA
StFrancoisCounty,,NA
StLouisCounty,,StLouis
SalineCounty,,NA
SchuylerCounty,,NA
ScotlandCounty,,NA
ScottCounty,,NA
ShannonCounty,,NA
ShelbyCounty,,NA
StoddardCounty,,NA
StoneCounty,,NA
SullivanCounty,,NA
TaneyCounty,,NA
TexasCounty,,NA
VernonCounty,,NA
WarrenCounty,,NA
WashingtonCounty,,NA
WayneCounty,,NA
WebsterCounty,,NA
WorthCounty,,NA
WrightCounty,,NA
StLouiscity,,StLouis
AdairCounty,,NA
AndrewCounty,,StJoseph
AtchisonCounty,,NA
AudrainCounty,,NA
BarryCounty,,NA
BartonCounty,,NA
BatesCounty,,NA
BentonCounty,,NA
BollingerCounty,,NA
BooneCounty,,Columbia
BuchananCounty,,StJoseph
ButlerCounty,,NA
CaldwellCounty,,NA
CallawayCounty,,JeffersonCity
CamdenCounty,,NA
CapeGirardeauCounty,,NA
CarrollCounty,,NA
CarterCounty,,NA
CassCounty,,KansasCity
CedarCounty,,NA
CharitonCounty,,NA
ChristianCounty,,Springfield
ClarkCounty,,NA
ClayCounty,,KansasCity
ClintonCounty,,NA
ColeCounty,,JeffersonCity
CooperCounty,,NA
CrawfordCounty,,NA
DadeCounty,,NA
DallasCounty,,NA
DaviessCounty,,NA
DeKalbCounty,,NA
DentCounty,,NA
DouglasCounty,,NA
DunklinCounty,,NA
FranklinCounty,,NA
GasconadeCounty,,NA
GentryCounty,,NA
GreeneCounty,,Springfield
GrundyCounty,,NA
HarrisonCounty,,NA
HenryCounty,,NA
HickoryCounty,,NA
HoltCounty,,NA
HowardCounty,,NA
HowellCounty,,NA
IronCounty,,NA
JacksonCounty,,KansasCity
JasperCounty,,Joplin
JeffersonCounty,,StLouis
JohnsonCounty,,NA
KnoxCounty,,NA
LacledeCounty,,NA
LafayetteCounty,,KansasCity
LawrenceCounty,,NA
LewisCounty,,NA
LincolnCounty,,NA
LinnCounty,,NA
LivingstonCounty,,NA
McDonaldCounty,,FayettevilleSpringdaleRogers
MaconCounty,,NA
MadisonCounty,,NA
MariesCounty,,NA
MarionCounty,,NA
MercerCounty,,NA
MillerCounty,,NA
MississippiCounty,,NA
MoniteauCounty,,NA
MonroeCounty,,NA
MontgomeryCounty,,NA
MorganCounty,,NA
NewMadridCounty,,NA
NewtonCounty,,Joplin
NodawayCounty,,NA
OregonCounty,,NA
OsageCounty,,NA
OzarkCounty,,NA
PemiscotCounty,,NA
PerryCounty,,NA
PettisCounty,,NA
PhelpsCounty,,NA
PikeCounty,,NA
PlatteCounty,,KansasCity
PolkCounty,,NA
PulaskiCounty,,NA
PutnamCounty,,NA
RallsCounty,,NA
RandolphCounty,,NA
RayCounty,,NA
ReynoldsCounty,,NA
RipleyCounty,,NA
StCharlesCounty,,StLouis
