County,Metropolitan,Town,Rural
AcadiaParish,0,0,0
AllenParish,0,0,0
AscensionParish,0,0,0
AssumptionParish,0,0,0
AvoyellesParish,0,0,0
BeauregardParish,0,0,0
BienvilleParish,0,0,0
BossierParish,0,0,0
CaddoParish,0,0,0
CalcasieuParish,0,0,0
CaldwellParish,0,0,0
CameronParish,0,0,0
CatahoulaParish,0,0,0
ClaiborneParish,0,0,0
ConcordiaParish,0,0,0
DeSotoParish,0,0,0
EastBatonRougeParish,0,0,0
EastCarrollParish,0,0,0
EastFelicianaParish,0,0,0
EvangelineParish,0,0,0
FranklinParish,0,0,0
GrantParish,0,0,0
IberiaParish,0,0,0
IbervilleParish,0,0,0
JacksonParish,0,0,0
JeffersonDavisParish,0,0,0
JeffersonParish,0,0,0
LaSalleParish,0,0,0
LafayetteParish,0,0,0
LafourcheParish,0,0,0
LincolnParish,0,0,0
LivingstonParish,0,0,0
MadisonParish,0,0,0
MorehouseParish,0,0,0
NatchitochesParish,0,0,0
OrleansParish,0,0,0
OuachitaParish,0,0,0
PlaqueminesParish,0,0,0
PointeCoupeeParish,0,0,0
RapidesParish,0,0,0
RedRiverParish,0,0,0
RichlandParish,0,0,0
SabineParish,0,0,0
StBernardParish,0,0,0
StCharlesParish,0,0,0
StHelenaParish,0,0,0
StJamesParish,0,0,0
StJohntheBaptistParish,0,0,0
StLandryParish,0,0,0
StMartinParish,0,0,0
StMaryParish,0,0,0
StTammanyParish,0,0,0
TangipahoaParish,0,0,0
TensasParish,0,0,0
TerrebonneParish,0,0,0
UnionParish,0,0,0
VermilionParish,0,0,0
VernonParish,0,0,0
WashingtonParish,0,0,0
WebsterParish,0,0,0
WestBatonRougeParish,0,0,0
WestCarrollParish,0,0,0
WestFelicianaParish,0,0,0
WinnParish,0,0,0
