County,Metropolitan,Town
BarbourCounty,1,1
BerkeleyCounty,1,1
BooneCounty,1,1
BraxtonCounty,1,1
BrookeCounty,1,1
CabellCounty,1,1
CalhounCounty,1,1
ClayCounty,1,1
DoddridgeCounty,1,1
FayetteCounty,1,1
GilmerCounty,1,1
GrantCounty,1,1
GreenbrierCounty,1,1
HampshireCounty,1,1
HancockCounty,1,1
HardyCounty,1,1
HarrisonCounty,1,1
JacksonCounty,1,1
JeffersonCounty,1,1
KanawhaCounty,1,1
LewisCounty,1,1
LincolnCounty,1,1
LoganCounty,1,1
MarionCounty,1,1
MarshallCounty,1,1
MasonCounty,1,1
McDowellCounty,1,1
MercerCounty,1,1
MineralCounty,1,1
MingoCounty,1,1
MonongaliaCounty,1,1
MonroeCounty,1,1
MorganCounty,1,1
NicholasCounty,1,1
OhioCounty,1,1
PendletonCounty,1,1
PleasantsCounty,1,1
PocahontasCounty,1,1
PrestonCounty,1,1
PutnamCounty,1,1
RaleighCounty,1,1
RandolphCounty,1,1
RitchieCounty,1,1
RoaneCounty,1,1
SummersCounty,1,1
TaylorCounty,1,1
TuckerCounty,1,1
TylerCounty,1,1
UpshurCounty,1,1
WayneCounty,1,1
WebsterCounty,1,1
WetzelCounty,1,1
WirtCounty,1,1
WoodCounty,1,1
WyomingCounty,1,1
