County,Metropolitan,Town
AlamanceCounty,1,1
AlexanderCounty,1,1
AlleghanyCounty,1,1
AnsonCounty,1,1
AsheCounty,1,1
AveryCounty,1,1
BeaufortCounty,1,1
BertieCounty,1,1
BladenCounty,1,1
BrunswickCounty,1,1
BuncombeCounty,1,1
BurkeCounty,1,1
CabarrusCounty,1,1
CaldwellCounty,1,1
CamdenCounty,1,1
CarteretCounty,1,1
CaswellCounty,1,1
CatawbaCounty,1,1
ChathamCounty,1,1
CherokeeCounty,1,1
ChowanCounty,1,1
ClayCounty,1,1
ClevelandCounty,1,1
ColumbusCounty,1,1
CravenCounty,1,1
CumberlandCounty,1,1
CurrituckCounty,1,1
DareCounty,1,1
DavidsonCounty,1,1
DavieCounty,1,1
DuplinCounty,1,1
DurhamCounty,1,1
EdgecombeCounty,1,1
ForsythCounty,1,1
FranklinCounty,1,1
GastonCounty,1,1
GatesCounty,1,1
GrahamCounty,1,1
GranvilleCounty,1,1
GreeneCounty,1,1
GuilfordCounty,1,1
HalifaxCounty,1,1
HarnettCounty,1,1
HaywoodCounty,1,1
HendersonCounty,1,1
HertfordCounty,1,1
HokeCounty,1,1
HydeCounty,1,1
IredellCounty,1,1
JacksonCounty,1,1
JohnstonCounty,1,1
JonesCounty,1,1
LeeCounty,1,1
LenoirCounty,1,1
LincolnCounty,1,1
MaconCounty,1,1
MadisonCounty,1,1
MartinCounty,1,1
McDowellCounty,1,1
MecklenburgCounty,1,1
MitchellCounty,1,1
MontgomeryCounty,1,1
MooreCounty,1,1
NashCounty,1,1
NewHanoverCounty,1,1
NorthamptonCounty,1,1
OnslowCounty,1,1
OrangeCounty,1,1
PamlicoCounty,1,1
PasquotankCounty,1,1
PenderCounty,1,1
PerquimansCounty,1,1
PersonCounty,1,1
PittCounty,1,1
PolkCounty,1,1
RandolphCounty,1,1
RichmondCounty,1,1
RobesonCounty,1,1
RockinghamCounty,1,1
RowanCounty,1,1
RutherfordCounty,1,1
SampsonCounty,1,1
ScotlandCounty,1,1
StanlyCounty,1,1
StokesCounty,1,1
SurryCounty,1,1
SwainCounty,1,1
TransylvaniaCounty,1,1
TyrrellCounty,1,1
UnionCounty,1,1
VanceCounty,1,1
WakeCounty,1,1
WarrenCounty,1,1
WashingtonCounty,1,1
WataugaCounty,1,1
WayneCounty,1,1
WilkesCounty,1,1
WilsonCounty,1,1
YadkinCounty,1,1
YanceyCounty,1,1
