"FAFZone","HawaiiCounty","HonoluluCounty","KalawaoCounty","KauaiCounty","MauiCounty"
"11",,,,,
"12",,,,,
"19",,,,,
"20",0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897,0.0344827586206897
"41",,,,,
"42",,,,,
"49",,,,,
"50",,,,,
"61",,,,,
"62",,,,,
"63",,,,,
"64",,,,,
"65",,,,,
"69",,,,,
"81",,,,,
"89",,,,,
"91",,,,,
"92",,,,,
"99",,,,,
"101",,,,,
"109",,,,,
"111",,,,,
"121",,,,,
"122",,,,,
"123",,,,,
"124",,,,,
"129",,,,,
"131",,,,,
"132",,,,,
"139",,,,,
"160",,,,,
"171",,,,,
"172",,,,,
"179",,,,,
"181",,,,,
"182",,,,,
"183",,,,,
"189",,,,,
"190",,,,,
"201",,,,,
"202",,,,,
"209",,,,,
"211",,,,,
"212",,,,,
"219",,,,,
"221",,,,,
"222",,,,,
"223",,,,,
"229",,,,,
"230",,,,,
"241",,,,,
"242",,,,,
"249",,,,,
"251",,,,,
"259",,,,,
"261",,,,,
"262",,,,,
"269",,,,,
"271",,,,,
"279",,,,,
"280",,,,,
"291",,,,,
"292",,,,,
"299",,,,,
"300",,,,,
"311",,,,,
"319",,,,,
"321",,,,,
"329",,,,,
"331",,,,,
"339",,,,,
"341",,,,,
"342",,,,,
"350",,,,,
"361",,,,,
"362",,,,,
"363",,,,,
"364",,,,,
"369",,,,,
"371",,,,,
"372",,,,,
"373",,,,,
"379",,,,,
"380",,,,,
"391",,,,,
"392",,,,,
"393",,,,,
"394",,,,,
"399",,,,,
"401",,,,,
"402",,,,,
"409",,,,,
"411",,,,,
"419",,,,,
"421",,,,,
"422",,,,,
"423",,,,,
"429",,,,,
"441",,,,,
"451",,,,,
"452",,,,,
"459",,,,,
"460",,,,,
"471",,,,,
"472",,,,,
"473",,,,,
"479",,,,,
"481",,,,,
"482",,,,,
"483",,,,,
"484",,,,,
"485",,,,,
"486",,,,,
"487",,,,,
"488",,,,,
"489",,,,,
"491",,,,,
"499",,,,,
"500",,,,,
"511",,,,,
"512",,,,,
"513",,,,,
"519",,,,,
"531",,,,,
"532",,,,,
"539",,,,,
"540",,,,,
"551",,,,,
"559",,,,,
"560",,,,,
