County,Region,Msa
CassCounty,,Fargo
CavalierCounty,,NA
DickeyCounty,,NA
DivideCounty,,NA
DunnCounty,,NA
EddyCounty,,NA
EmmonsCounty,,NA
FosterCounty,,NA
GoldenValleyCounty,,NA
GrandForksCounty,,GrandForks
GrantCounty,,NA
GriggsCounty,,NA
HettingerCounty,,NA
KidderCounty,,NA
LaMoureCounty,,NA
LoganCounty,,NA
McHenryCounty,,NA
McIntoshCounty,,NA
McKenzieCounty,,NA
McLeanCounty,,NA
MercerCounty,,NA
MortonCounty,,Bismarck
MountrailCounty,,NA
NelsonCounty,,NA
OliverCounty,,NA
PembinaCounty,,NA
PierceCounty,,NA
RamseyCounty,,NA
RansomCounty,,NA
RenvilleCounty,,NA
RichlandCounty,,NA
RoletteCounty,,NA
SargentCounty,,NA
SheridanCounty,,NA
SiouxCounty,,NA
SlopeCounty,,NA
StarkCounty,,NA
SteeleCounty,,NA
StutsmanCounty,,NA
TownerCounty,,NA
TraillCounty,,NA
WalshCounty,,NA
WardCounty,,NA
WellsCounty,,NA
WilliamsCounty,,NA
AdamsCounty,,NA
BarnesCounty,,NA
BensonCounty,,NA
BillingsCounty,,NA
BottineauCounty,,NA
BowmanCounty,,NA
BurkeCounty,,NA
BurleighCounty,,Bismarck
