"County","FIPS","StateFIPS","CountyFIPS"
"AndersonCounty",48001,48,1
"AndrewsCounty",48003,48,3
"AngelinaCounty",48005,48,5
"AransasCounty",48007,48,7
"ArcherCounty",48009,48,9
"ArmstrongCounty",48011,48,11
"AtascosaCounty",48013,48,13
"AustinCounty",48015,48,15
"BaileyCounty",48017,48,17
"BanderaCounty",48019,48,19
"BastropCounty",48021,48,21
"BaylorCounty",48023,48,23
"BeeCounty",48025,48,25
"BellCounty",48027,48,27
"BexarCounty",48029,48,29
"BlancoCounty",48031,48,31
"BordenCounty",48033,48,33
"BosqueCounty",48035,48,35
"BowieCounty",48037,48,37
"BrazoriaCounty",48039,48,39
"BrazosCounty",48041,48,41
"BrewsterCounty",48043,48,43
"BriscoeCounty",48045,48,45
"BrooksCounty",48047,48,47
"BrownCounty",48049,48,49
"BurlesonCounty",48051,48,51
"BurnetCounty",48053,48,53
"CaldwellCounty",48055,48,55
"CalhounCounty",48057,48,57
"CallahanCounty",48059,48,59
"CameronCounty",48061,48,61
"CampCounty",48063,48,63
"CarsonCounty",48065,48,65
"CassCounty",48067,48,67
"CastroCounty",48069,48,69
"ChambersCounty",48071,48,71
"CherokeeCounty",48073,48,73
"ChildressCounty",48075,48,75
"ClayCounty",48077,48,77
"CochranCounty",48079,48,79
"CokeCounty",48081,48,81
"ColemanCounty",48083,48,83
"CollinCounty",48085,48,85
"CollingsworthCounty",48087,48,87
"ColoradoCounty",48089,48,89
"ComalCounty",48091,48,91
"ComancheCounty",48093,48,93
"ConchoCounty",48095,48,95
"CookeCounty",48097,48,97
"CoryellCounty",48099,48,99
"CottleCounty",48101,48,101
"CraneCounty",48103,48,103
"CrockettCounty",48105,48,105
"CrosbyCounty",48107,48,107
"CulbersonCounty",48109,48,109
"DallamCounty",48111,48,111
"DallasCounty",48113,48,113
"DawsonCounty",48115,48,115
"DeafSmithCounty",48117,48,117
"DeltaCounty",48119,48,119
"DentonCounty",48121,48,121
"DeWittCounty",48123,48,123
"DickensCounty",48125,48,125
"DimmitCounty",48127,48,127
"DonleyCounty",48129,48,129
"DuvalCounty",48131,48,131
"EastlandCounty",48133,48,133
"EctorCounty",48135,48,135
"EdwardsCounty",48137,48,137
"EllisCounty",48139,48,139
"ElPasoCounty",48141,48,141
"ErathCounty",48143,48,143
"FallsCounty",48145,48,145
"FanninCounty",48147,48,147
"FayetteCounty",48149,48,149
"FisherCounty",48151,48,151
"FloydCounty",48153,48,153
"FoardCounty",48155,48,155
"FortBendCounty",48157,48,157
"FranklinCounty",48159,48,159
"FreestoneCounty",48161,48,161
"FrioCounty",48163,48,163
"GainesCounty",48165,48,165
"GalvestonCounty",48167,48,167
"GarzaCounty",48169,48,169
"GillespieCounty",48171,48,171
"GlasscockCounty",48173,48,173
"GoliadCounty",48175,48,175
"GonzalesCounty",48177,48,177
"GrayCounty",48179,48,179
"GraysonCounty",48181,48,181
"GreggCounty",48183,48,183
"GrimesCounty",48185,48,185
"GuadalupeCounty",48187,48,187
"HaleCounty",48189,48,189
"HallCounty",48191,48,191
"HamiltonCounty",48193,48,193
"HansfordCounty",48195,48,195
"HardemanCounty",48197,48,197
"HardinCounty",48199,48,199
"HarrisCounty",48201,48,201
"HarrisonCounty",48203,48,203
"HartleyCounty",48205,48,205
"HaskellCounty",48207,48,207
"HaysCounty",48209,48,209
"HemphillCounty",48211,48,211
"HendersonCounty",48213,48,213
"HidalgoCounty",48215,48,215
"HillCounty",48217,48,217
"HockleyCounty",48219,48,219
"HoodCounty",48221,48,221
"HopkinsCounty",48223,48,223
"HoustonCounty",48225,48,225
"HowardCounty",48227,48,227
"HudspethCounty",48229,48,229
"HuntCounty",48231,48,231
"HutchinsonCounty",48233,48,233
"IrionCounty",48235,48,235
"JackCounty",48237,48,237
"JacksonCounty",48239,48,239
"JasperCounty",48241,48,241
"JeffDavisCounty",48243,48,243
"JeffersonCounty",48245,48,245
"JimHoggCounty",48247,48,247
"JimWellsCounty",48249,48,249
"JohnsonCounty",48251,48,251
"JonesCounty",48253,48,253
"KarnesCounty",48255,48,255
"KaufmanCounty",48257,48,257
"KendallCounty",48259,48,259
"KenedyCounty",48261,48,261
"KentCounty",48263,48,263
"KerrCounty",48265,48,265
"KimbleCounty",48267,48,267
"KingCounty",48269,48,269
"KinneyCounty",48271,48,271
"KlebergCounty",48273,48,273
"KnoxCounty",48275,48,275
"LamarCounty",48277,48,277
"LambCounty",48279,48,279
"LampasasCounty",48281,48,281
"LaSalleCounty",48283,48,283
"LavacaCounty",48285,48,285
"LeeCounty",48287,48,287
"LeonCounty",48289,48,289
"LibertyCounty",48291,48,291
"LimestoneCounty",48293,48,293
"LipscombCounty",48295,48,295
"LiveOakCounty",48297,48,297
"LlanoCounty",48299,48,299
"LovingCounty",48301,48,301
"LubbockCounty",48303,48,303
"LynnCounty",48305,48,305
"McCullochCounty",48307,48,307
"McLennanCounty",48309,48,309
"McMullenCounty",48311,48,311
"MadisonCounty",48313,48,313
"MarionCounty",48315,48,315
"MartinCounty",48317,48,317
"MasonCounty",48319,48,319
"MatagordaCounty",48321,48,321
"MaverickCounty",48323,48,323
"MedinaCounty",48325,48,325
"MenardCounty",48327,48,327
"MidlandCounty",48329,48,329
"MilamCounty",48331,48,331
"MillsCounty",48333,48,333
"MitchellCounty",48335,48,335
"MontagueCounty",48337,48,337
"MontgomeryCounty",48339,48,339
"MooreCounty",48341,48,341
"MorrisCounty",48343,48,343
"MotleyCounty",48345,48,345
"NacogdochesCounty",48347,48,347
"NavarroCounty",48349,48,349
"NewtonCounty",48351,48,351
"NolanCounty",48353,48,353
"NuecesCounty",48355,48,355
"OchiltreeCounty",48357,48,357
"OldhamCounty",48359,48,359
"OrangeCounty",48361,48,361
"PaloPintoCounty",48363,48,363
"PanolaCounty",48365,48,365
"ParkerCounty",48367,48,367
"ParmerCounty",48369,48,369
"PecosCounty",48371,48,371
"PolkCounty",48373,48,373
"PotterCounty",48375,48,375
"PresidioCounty",48377,48,377
"RainsCounty",48379,48,379
"RandallCounty",48381,48,381
"ReaganCounty",48383,48,383
"RealCounty",48385,48,385
"RedRiverCounty",48387,48,387
"ReevesCounty",48389,48,389
"RefugioCounty",48391,48,391
"RobertsCounty",48393,48,393
"RobertsonCounty",48395,48,395
"RockwallCounty",48397,48,397
"RunnelsCounty",48399,48,399
"RuskCounty",48401,48,401
"SabineCounty",48403,48,403
"SanAugustineCounty",48405,48,405
"SanJacintoCounty",48407,48,407
"SanPatricioCounty",48409,48,409
"SanSabaCounty",48411,48,411
"SchleicherCounty",48413,48,413
"ScurryCounty",48415,48,415
"ShackelfordCounty",48417,48,417
"ShelbyCounty",48419,48,419
