County,Metropolitan,Town,Rural
BakerCounty,0,0,0
BentonCounty,0,0,0
ClackamasCounty,0,0,0
ClatsopCounty,0,0,0
ColumbiaCounty,0,0,0
CoosCounty,0,0,0
CrookCounty,0,0,0
CurryCounty,0,0,0
DeschutesCounty,0,0,0
DouglasCounty,0,0,0
GilliamCounty,0,0,0
GrantCounty,0,0,0
HarneyCounty,0,0,0
HoodRiverCounty,0,0,0
JacksonCounty,0,0,0
JeffersonCounty,0,0,0
JosephineCounty,0,0,0
KlamathCounty,0,0,0
LakeCounty,0,0,0
LaneCounty,0,0,0
LincolnCounty,0,0,0
LinnCounty,0,0,0
MalheurCounty,0,0,0
MarionCounty,0,0,0
MorrowCounty,0,0,0
MultnomahCounty,0,0,0
PolkCounty,0,0,0
ShermanCounty,0,0,0
TillamookCounty,0,0,0
UmatillaCounty,0,0,0
UnionCounty,0,0,0
WallowaCounty,0,0,0
WascoCounty,0,0,0
WashingtonCounty,0,0,0
WheelerCounty,0,0,0
YamhillCounty,0,0,0
