NAICS6_IO,SCTG,naics,naics_desc,NAICS6_Make_desc,SCTG_desc,Prop
1111A0,3,111110,Soybean Farming,Oilseed farming,Other ag prods.,1
1111A0,3,111120,Oilseed (except Soybean) Farming,Oilseed farming,Other ag prods.,1
1111B0,2,111130,Dry Pea and Bean Farming,Grain farming,Cereal grains,1
1111B0,2,111140,Wheat Farming,Grain farming,Cereal grains,1
1111B0,2,111150,Corn Farming,Grain farming,Cereal grains,1
1111B0,2,111160,Rice Farming,Grain farming,Cereal grains,1
1111B0,2,111191,Oilseed and Grain Combination Farming,Grain farming,Cereal grains,1
1111B0,2,111199,All Other Grain Farming,Grain farming,Cereal grains,1
111200,3,111211,Potato Farming,Vegetable and melon farming,Other ag prods.,1
111200,3,111219,Other Vegetable (except Potato) and Melon Farming,Vegetable and melon farming,Other ag prods.,1
111300,3,111310,Orange Groves,Fruit and tree nut farming,Other ag prods.,1
111300,3,111320,Citrus (except Orange) Groves,Fruit and tree nut farming,Other ag prods.,1
111300,3,111331,Apple Orchards,Fruit and tree nut farming,Other ag prods.,1
111300,3,111332,Grape Vineyards,Fruit and tree nut farming,Other ag prods.,1
111300,3,111333,Strawberry Farming,Fruit and tree nut farming,Other ag prods.,1
111300,3,111334,Berry (except Strawberry) Farming,Fruit and tree nut farming,Other ag prods.,1
111300,3,111335,Tree Nut Farming,Fruit and tree nut farming,Other ag prods.,1
111300,3,111336,Fruit and Tree Nut Combination Farming,Fruit and tree nut farming,Other ag prods.,1
111300,3,111339,Other Noncitrus Fruit Farming,Fruit and tree nut farming,Other ag prods.,1
111400,3,111411,Mushroom Production,"Greenhouse, nursery, and floriculture production",Other ag prods.,1
111400,3,111419,Other Food Crops Grown Under Cover,"Greenhouse, nursery, and floriculture production",Other ag prods.,1
111400,3,111421,Nursery and Tree Production,"Greenhouse, nursery, and floriculture production",Other ag prods.,1
111400,3,111422,Floriculture Production,"Greenhouse, nursery, and floriculture production",Other ag prods.,1
111900,3,111910,Tobacco Farming,Other crop farming,Other ag prods.,1
111900,3,111920,Cotton Farming,Other crop farming,Other ag prods.,1
111900,3,111930,Sugarcane Farming,Other crop farming,Other ag prods.,1
111900,3,111940,Hay Farming,Other crop farming,Other ag prods.,1
111900,3,111991,Sugar Beet Farming,Other crop farming,Other ag prods.,1
111900,3,111992,Peanut Farming,Other crop farming,Other ag prods.,1
111900,3,111998,All Other Miscellaneous Crop Farming,Other crop farming,Other ag prods.,1
1121A0,1,112111,Beef Cattle Ranching and Farming,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Live animals/fish,1
1121A0,1,112112,Cattle Feedlots,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Live animals/fish,1
112120,1,112120,Dairy Cattle and Milk Production,Dairy cattle and milk production,Live animals/fish,1
1121A0,1,112130,Dual-Purpose Cattle Ranching and Farming,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Live animals/fish,1
112A00,1,112210,Hog and Pig Farming,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112300,1,112310,Chicken Egg Production,Poultry and egg production,Live animals/fish,1
112300,1,112320,Broilers and Other Meat Type Chicken Production,Poultry and egg production,Live animals/fish,1
112300,1,112330,Turkey Production,Poultry and egg production,Live animals/fish,1
112300,1,112340,Poultry Hatcheries,Poultry and egg production,Live animals/fish,1
112300,1,112390,Other Poultry Production,Poultry and egg production,Live animals/fish,1
