County,Metropolitan,Town,Rural
AdamsCounty,0,0,0
AlexanderCounty,0,0,0
BondCounty,0,0,0
BooneCounty,0,0,0
BrownCounty,0,0,0
BureauCounty,0,0,0
CalhounCounty,0,0,0
CarrollCounty,0,0,0
CassCounty,0,0,0
ChampaignCounty,0,0,0
ChristianCounty,0,0,0
ClarkCounty,0,0,0
ClayCounty,0,0,0
ClintonCounty,0,0,0
ColesCounty,0,0,0
CookCounty,0,0,0
CrawfordCounty,0,0,0
CumberlandCounty,0,0,0
DeKalbCounty,0,0,0
DeWittCounty,0,0,0
DouglasCounty,0,0,0
DuPageCounty,0,0,0
EdgarCounty,0,0,0
EdwardsCounty,0,0,0
EffinghamCounty,0,0,0
FayetteCounty,0,0,0
FordCounty,0,0,0
FranklinCounty,0,0,0
FultonCounty,0,0,0
GallatinCounty,0,0,0
GreeneCounty,0,0,0
GrundyCounty,0,0,0
HamiltonCounty,0,0,0
HancockCounty,0,0,0
HardinCounty,0,0,0
HendersonCounty,0,0,0
HenryCounty,0,0,0
IroquoisCounty,0,0,0
JacksonCounty,0,0,0
JasperCounty,0,0,0
JeffersonCounty,0,0,0
JerseyCounty,0,0,0
JoDaviessCounty,0,0,0
JohnsonCounty,0,0,0
KaneCounty,0,0,0
KankakeeCounty,0,0,0
KendallCounty,0,0,0
KnoxCounty,0,0,0
LaSalleCounty,0,0,0
LakeCounty,0,0,0
LawrenceCounty,0,0,0
LeeCounty,0,0,0
LivingstonCounty,0,0,0
LoganCounty,0,0,0
MaconCounty,0,0,0
MacoupinCounty,0,0,0
MadisonCounty,0,0,0
MarionCounty,0,0,0
MarshallCounty,0,0,0
MasonCounty,0,0,0
MassacCounty,0,0,0
McDonoughCounty,0,0,0
McHenryCounty,0,0,0
McLeanCounty,0,0,0
MenardCounty,0,0,0
MercerCounty,0,0,0
MonroeCounty,0,0,0
MontgomeryCounty,0,0,0
MorganCounty,0,0,0
MoultrieCounty,0,0,0
OgleCounty,0,0,0
PeoriaCounty,0,0,0
PerryCounty,0,0,0
PiattCounty,0,0,0
PikeCounty,0,0,0
PopeCounty,0,0,0
PulaskiCounty,0,0,0
PutnamCounty,0,0,0
RandolphCounty,0,0,0
RichlandCounty,0,0,0
RockIslandCounty,0,0,0
SalineCounty,0,0,0
SangamonCounty,0,0,0
SchuylerCounty,0,0,0
ScottCounty,0,0,0
ShelbyCounty,0,0,0
StClairCounty,0,0,0
StarkCounty,0,0,0
StephensonCounty,0,0,0
TazewellCounty,0,0,0
UnionCounty,0,0,0
VermilionCounty,0,0,0
WabashCounty,0,0,0
WarrenCounty,0,0,0
WashingtonCounty,0,0,0
WayneCounty,0,0,0
WhiteCounty,0,0,0
WhitesideCounty,0,0,0
WillCounty,0,0,0
WilliamsonCounty,0,0,0
WinnebagoCounty,0,0,0
WoodfordCounty,0,0,0
