County,Metropolitan,Town,Rural
AbbevilleCounty,0,0,0
AikenCounty,0,0,0
AllendaleCounty,0,0,0
AndersonCounty,0,0,0
BambergCounty,0,0,0
BarnwellCounty,0,0,0
BeaufortCounty,0,0,0
BerkeleyCounty,0,0,0
CalhounCounty,0,0,0
CharlestonCounty,0,0,0
CherokeeCounty,0,0,0
ChesterCounty,0,0,0
ChesterfieldCounty,0,0,0
ClarendonCounty,0,0,0
ColletonCounty,0,0,0
DarlingtonCounty,0,0,0
DillonCounty,0,0,0
DorchesterCounty,0,0,0
EdgefieldCounty,0,0,0
FairfieldCounty,0,0,0
FlorenceCounty,0,0,0
GeorgetownCounty,0,0,0
GreenvilleCounty,0,0,0
GreenwoodCounty,0,0,0
HamptonCounty,0,0,0
HorryCounty,0,0,0
JasperCounty,0,0,0
KershawCounty,0,0,0
LancasterCounty,0,0,0
LaurensCounty,0,0,0
LeeCounty,0,0,0
LexingtonCounty,0,0,0
MarionCounty,0,0,0
MarlboroCounty,0,0,0
McCormickCounty,0,0,0
NewberryCounty,0,0,0
OconeeCounty,0,0,0
OrangeburgCounty,0,0,0
PickensCounty,0,0,0
RichlandCounty,0,0,0
SaludaCounty,0,0,0
SpartanburgCounty,0,0,0
SumterCounty,0,0,0
UnionCounty,0,0,0
WilliamsburgCounty,0,0,0
YorkCounty,0,0,0
